SiteName,County,AQI,Pollutant,Status,SO2,CO,CO_8hr,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,PublishTime,PM2.5_AVG,PM10_AVG,Latitude,Longitude
崙背,雲林縣,91,細懸浮微粒,普通,4.2,0.24,0.3,50,21,56,40,4.8,5.6,0.7,1.2,239,2018-07-17 10:00,32,55,23.757547,120.348742
富貴角,新北市,15,,良好,0.1,0.04,0.1,13,10,12,8,0.5,0.9,0.3,12,86,2018-07-17 10:00,5,14,25.298562,121.536763
麥寮,雲林縣,87,細懸浮微粒,普通,4.4,0.32,0.3,49,21,82,33,8.9,11,2.4,2,207,2018-07-17 10:00,30,79,23.753506,120.251825
關山,臺東縣,16,,良好,1.7,-,,9.3,7,7,6,1.5,4.9,3.4,2.1,49,2018-07-17 10:00,5,5,23.045083,121.161933
馬公,澎湖縣,35,,良好,2.5,0.1,0.1,18,15,25,12,2.7,4.8,2.1,1.7,266,2018-07-17 10:00,11,27,23.569031,119.566158
金門,金門縣,26,,良好,,,0.1,22,14,36,9,,,,4.8,45,2018-07-17 10:00,6,28,24.432133,118.312256
馬祖,連江縣,27,,良好,2.7,0.08,0.1,12,10,35,6,,,,4.3,328,2018-07-17 10:00,5,29,26.160469,119.949875
埔里,南投縣,87,細懸浮微粒,普通,2.1,0.29,0.3,53,19,44,33,6,7.1,1.1,2,291,2018-07-17 10:00,30,41,23.968842,120.967903
復興,高雄市,38,,良好,4.8,0.56,0.5,38,29,34,15,12,14,2.7,1,253,2018-07-17 10:00,12,35,22.608711,120.312017
永和,新北市,15,,良好,1.7,0.22,0.2,10,10,12,3,4.2,13,8.5,3,95,2018-07-17 10:00,5,8,25.017,121.516306
竹山,南投縣,99,細懸浮微粒,普通,2,0.16,0.2,52,26,46,26,2.9,4.5,1.5,1.8,295,2018-07-17 10:00,35,56,23.756389,120.677306
中壢,桃園市,23,,良好,2.8,0.89,0.6,5.6,5,29,2,12,46,34,3,289,2018-07-17 10:00,4,25,24.953278,121.221667
三重,新北市,22,,良好,2.3,0.66,0.7,-,,20,4,9,46,37,,,2018-07-17 10:00,4,24,25.072611,121.493806
冬山,宜蘭縣,18,,良好,1.5,0.1,0.2,8.6,6,,,2.8,7.8,5.1,5.1,132,2018-07-17 10:00,5,19,24.632203,121.792928
宜蘭,宜蘭縣,19,,良好,1.8,0.13,0.1,12,8,25,ND,1.6,3.6,2,6.2,123,2018-07-17 10:00,1,20,24.747917,121.746394
陽明,臺北市,9,,良好,1.8,0.07,0.1,9.9,10,8,2,0.8,1.6,0.8,,,2018-07-17 10:00,2,6,25.182722,121.529583
花蓮,花蓮縣,16,,良好,2.6,0.16,0.2,11,7,24,ND,5.6,11,5,2,117,2018-07-17 10:00,2,17,23.971306,121.599769
臺東,臺東縣,12,,良好,1,0.16,0.1,9.2,9,20,3,2.2,4.5,2.3,2.8,6.2,2018-07-17 10:00,3,13,22.755358,121.15045
恆春,屏東縣,16,,良好,1.9,0.06,0.1,14,13,21,8,0.9,2.4,1.5,10,43,2018-07-17 10:00,5,17,21.958069,120.788928
潮州,屏東縣,85,細懸浮微粒,普通,2.5,0.34,0.3,54,24,85,39,6.8,7.9,1.1,1.3,267,2018-07-17 10:00,29,71,22.523108,120.561175
屏東,屏東縣,91,細懸浮微粒,普通,1.9,0.24,0.3,50,31,39,25,4.8,5.3,0.5,1.5,259,2018-07-17 10:00,32,50,22.673081,120.488033
