,movie,year,imdb,metascore,votes,n_imdb
0,Gladiator,2000,8.5,67,1145608,85.0
1,Memento,2000,8.5,80,983696,85.0
2,Snatch,2000,8.3,55,688578,83.0
3,Requiem for a Dream,2000,8.3,68,668082,83.0
4,X-Men,2000,7.4,64,513454,74.0
5,Cast Away,2000,7.8,73,451347,78.0
6,American Psycho,2000,7.6,64,410295,76.0
7,Unbreakable,2000,7.3,62,300454,73.0
8,Meet the Parents,2000,7.0,73,284761,70.0
9,Mission: Impossible II,2000,6.1,59,275232,61.0
10,"O Brother, Where Art Thou?",2000,7.8,69,251955,78.0
11,Gone in Sixty Seconds,2000,6.5,35,238387,65.0
12,Wo hu cang long,2000,7.9,93,233982,79.0
13,The Patriot,2000,7.2,63,229513,72.0
14,Almost Famous,2000,7.9,90,227830,79.0
15,Pitch Black,2000,7.1,49,209124,71.0
16,Scary Movie,2000,6.2,48,207262,62.0
17,"Me, Myself & Irene",2000,6.6,49,203253,66.0
18,Final Destination,2000,6.7,36,202476,67.0
19,The Beach,2000,6.6,43,200129,66.0
20,Amores perros,2000,8.1,83,199749,81.0
21,Traffic,2000,7.6,86,181925,76.0
22,Remember the Titans,2000,7.8,48,178231,78.0
23,What Women Want,2000,6.4,47,174701,64.0
24,How the Grinch Stole Christmas,2000,6.1,46,167073,61.0
25,Chocolat,2000,7.3,64,163620,73.0
26,Miss Congeniality,2000,6.2,43,159438,62.0
27,Charlie's Angels,2000,5.5,52,158143,55.0
28,Chicken Run,2000,7.0,88,157226,70.0
29,High Fidelity,2000,7.5,79,154610,75.0
30,Batoru rowaiaru,2000,7.7,81,154064,77.0
31,Erin Brockovich,2000,7.3,73,151800,73.0
32,The Emperor's New Groove,2000,7.3,70,150662,73.0
33,Road Trip,2000,6.5,55,144549,65.0
34,The Perfect Storm,2000,6.4,59,143081,64.0
35,"Dude, Where's My Car?",2000,5.5,30,125602,55.0
36,Hollow Man,2000,5.7,24,111359,57.0
37,Scream 3,2000,5.5,56,109636,55.0
38,Billy Elliot,2000,7.7,74,109277,77.0
39,The 6th Day,2000,5.9,49,107587,59.0
40,Shanghai Noon,2000,6.6,77,107542,66.0
41,What Lies Beneath,2000,6.6,51,106903,66.0
42,Pay It Forward,2000,7.2,40,104462,72.0
43,The Whole Nine Yards,2000,6.7,47,99259,67.0
44,Faa yeung nin wa,2000,8.1,85,98204,81.0
45,Coyote Ugly,2000,5.6,27,98195,56.0
46,Men of Honor,2000,7.2,56,97892,72.0
47,The Family Man,2000,6.7,42,93995,67.0
48,Frequency,2000,7.4,67,91249,74.0
49,Dancer in the Dark,2000,8.0,61,89420,80.0
50,Bedazzled,2000,6.0,49,88680,60.0
51,Little Nicky,2000,5.3,38,88405,53.0
52,The Cell,2000,6.3,40,86852,63.0
53,Bring It On,2000,6.0,52,77979,60.0
54,Finding Forrester,2000,7.3,62,77409,73.0
55,Malèna,2000,7.5,54,75713,75.0
56,Big Momma's House,2000,5.1,33,73628,51.0
57,Battlefield Earth,2000,2.4,9,70730,24.0
58,The Road to El Dorado,2000,6.9,51,70686,69.0
59,U-571,2000,6.6,62,70565,66.0
60,Space Cowboys,2000,6.4,73,66185,64.0
61,Mission to Mars,2000,5.6,34,65438,56.0
62,Shaft,2000,5.9,50,63363,59.0
63,Romeo Must Die,2000,6.1,52,61584,61.0
64,Wonder Boys,2000,7.4,73,57642,74.0
65,The Gift,2000,6.7,62,56874,67.0
66,Titan A.E.,2000,6.6,48,55256,66.0
67,Vertical Limit,2000,5.9,48,53747,59.0
68,Les rivières pourpres,2000,6.9,49,52863,69.0
69,The Replacements,2000,6.5,30,52746,65.0
70,Proof of Life,2000,6.2,45,51945,62.0
71,Red Planet,2000,5.7,34,51269,57.0
72,Best in Show,2000,7.5,78,49954,75.0
73,The Legend of Bagger Vance,2000,6.7,47,49421,67.0
74,Thirteen Days,2000,7.3,67,49229,73.0
75,Sexy Beast,2000,7.3,79,48293,73.0
76,Quills,2000,7.3,70,47978,73.0
77,Keeping the Faith,2000,6.4,60,47115,64.0
78,Boiler Room,2000,7.0,63,45202,70.0
79,Dinosaur,2000,6.5,56,44898,65.0
80,Nueve reinas,2000,7.9,80,44060,79.0
81,Nutty Professor II: The Klumps,2000,4.4,38,43944,44.0
82,Rules of Engagement,2000,6.4,45,40574,64.0
83,28 Days,2000,6.0,46,38743,60.0
84,The Kid,2000,6.1,45,37062,61.0
85,Shadow of the Vampire,2000,6.9,71,36752,69.0
86,Ginger Snaps,2000,6.8,70,36656,68.0
87,Tigerland,2000,7.0,55,35563,70.0
88,Reindeer Games,2000,5.7,37,34176,57.0
89,Small Time Crooks,2000,6.7,69,33826,67.0
90,Chopper,2000,7.2,65,33774,72.0
91,Book of Shadows: Blair Witch 2,2000,4.0,15,32590,40.0
92,Next Friday,2000,6.1,41,32118,61.0
93,Nurse Betty,2000,6.2,69,31392,62.0
94,102 Dalmatians,2000,4.9,35,30135,49.0
95,Get Carter,2000,5.1,24,29817,51.0
96,Dracula 2000,2000,4.9,26,29511,49.0
97,The Way of the Gun,2000,6.7,49,29396,67.0
98,Dungeons & Dragons,2000,3.7,14,29396,37.0
99,Where the Heart Is,2000,6.8,30,29359,68.0
100,The Skulls,2000,5.6,24,28922,56.0
101,The Art of War,2000,5.7,30,26870,57.0
102,Vampire Hunter D: Bloodlust,2000,7.7,62,25697,77.0
103,You Can Count on Me,2000,7.6,85,25299,76.0
104,Pollock,2000,7.0,77,24985,70.0
105,Loser,2000,5.3,35,24574,53.0
106,The Watcher,2000,5.3,22,23761,53.0
107,Autumn in New York,2000,5.6,24,22460,56.0
108,Gongdong gyeongbi guyeok JSA,2000,7.9,58,22304,79.0
109,Before Night Falls,2000,7.3,85,22269,73.0
110,The Contender,2000,7.0,59,21592,70.0
111,Brother,2000,7.2,47,20111,72.0
112,Under Suspicion,2000,6.5,43,19988,65.0
113,The Million Dollar Hotel,2000,5.9,25,19536,59.0
114,State and Main,2000,6.8,75,19216,68.0
115,Tillsammans,2000,7.5,84,18913,75.0
116,Bounce,2000,5.7,52,18767,57.0
117,Im Juli,2000,7.8,71,18734,78.0
118,The Flintstones in Viva Rock Vegas,2000,3.6,27,17948,36.0
119,My Dog Skip,2000,7.0,61,17911,70.0
120,The Adventures of Rocky & Bullwinkle,2000,4.2,36,17910,42.0
121,Return to Me,2000,6.9,54,17825,69.0
122,Highlander: Endgame,2000,4.6,21,17818,46.0
123,The Yards,2000,6.4,58,17747,64.0
124,Center Stage,2000,6.7,52,17083,67.0
125,Blinkende lygter,2000,7.7,47,16863,77.0
126,Dr. T & the Women,2000,4.6,64,16526,46.0
127,Saving Grace,2000,6.9,62,16435,69.0
128,Love & Basketball,2000,7.2,70,16079,72.0
129,Supernova,2000,4.8,19,15867,48.0
130,Yi yi,2000,8.1,93,15853,81.0
131,Baise-moi,2000,4.5,35,15615,45.0
132,Sånger från andra våningen,2000,7.7,76,14938,77.0
133,The Tigger Movie,2000,6.3,53,14918,63.0
134,Boys and Girls,2000,5.4,29,14781,54.0
135,Urban Legends: Final Cut,2000,4.2,16,14319,42.0
136,The Dish,2000,7.2,74,13855,72.0
137,Der Krieger und die Kaiserin,2000,7.5,64,13556,75.0
138,Gossip,2000,5.9,31,13372,59.0
139,The Man Who Cried,2000,6.2,40,13326,62.0
