
105年02月03日 零股交易行情單(元/股)
"證券代號","證券名稱","成交股數","成交筆數","成交金額","成交價","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量"
"2427  ","三商電    ","764","2","4,339","5.68","5.68","25,511","--","0",
"2453  ","凌群      ","0","0","0","--","9.90","999","10.10","608",
"2468  ","華經      ","0","0","0","--","10.00","1,059","10.20","222",
"2471  ","資通      ","83","12","1,110","13.45","13.40","1,174","13.45","643",
"2480  ","敦陽科    ","369","14","9,160","24.85","24.85","4,126","26.00","1,399",
"3029  ","零壹      ","1,985","28","33,840","17.05","16.95","4,198","17.05","931",
"3130  ","一零四    ","80","2","11,280","141.00","141.00","10,782","154.00","70",
"4994  ","傳奇      ","468","1","32,104","68.60","68.60","5,324","69.00","202",
"5203  ","訊連      ","496","12","33,728","68.00","68.00","4,721","68.40","289",
"6112  ","聚碩      ","1,218","13","31,055","25.50","25.50","4,567","25.55","735",
"6183  ","關貿      ","82","3","2,032","24.80","24.80","1,803","25.15","1,461",
"6214  ","精誠      ","802","6","40,980","51.10","51.00","5,539","51.10","535",
"","合計","6,347","93","199,628","--","--","69,803","--","7,095",
"成交及最後揭示欄位無內容表示無成交、無委託或暫停交易(僅存託憑證及認購(售)權證有暫停交易機制)。"
"暫停交易證券明細可連結基本市況報導網站「五檔揭示」查詢。"
