靡ㄩ腹,靡ㄩ嘿,Θユ计,Θユ掸计,Θユ肂,Θユ基,程处ボ禦基,程处ボ禦秖,程处ボ芥基,程处ボ芥秖
2427,坝筿    ,764,2,"4,339",5.68,5.68,"25,511",--,0
2453,竤      ,0,0,0,--,9.9,999,10.1,608
2468,地竒      ,0,0,0,--,10,"1,059",10.2,222
2471,戈硄      ,83,12,"1,110",13.45,13.4,"1,174",13.45,643
2480,窗锭    ,369,14,"9,160",24.85,24.85,"4,126",26,"1,399"
3029,箂滁      ,"1,985",28,"33,840",17.05,16.95,"4,198",17.05,931
3130,箂    ,80,2,"11,280",141,141,"10,782",154,70
4994,肚      ,468,1,"32,104",68.6,68.6,"5,324",69,202
5203,癟硈      ,496,12,"33,728",68,68,"4,721",68.4,289
6112,籈河      ,"1,218",13,"31,055",25.5,25.5,"4,567",25.55,735
6183,闽禩      ,82,3,"2,032",24.8,24.8,"1,803",25.15,"1,461"
6214,弘港      ,802,6,"40,980",51.1,51,"5,539",51.1,535
6883,弘,82,3,"2,032",24.8,24.8,"1,803",25.15,"1,461"
6888,,82,3,"2,032",24.8,24.8,"1,803",25.15,"1,461"
