,0,1,2,3,4,5,6,7,8,9,10,11,12
0,½Õ»ù¤é´Á,µL¹]¨Tªo92,µL¹]¨Tªo95,µL¹]¨Tªo98,¶W¯Å/°ª¯Å®ãªo,¤G¦æµ{µL¹],·Ñªo,¥ÒºØº®²îªo(KL),¤AºØº®²îªo(KL),§C²¸¿U®Æªo(0.5%)(KL),¥ÒºØ§C²¸  ¿U®Æªo/ §C²¸ÁçÄlªo(0.5%)(KL),§C²¸  ¿U®Æªo(1%)(KL),§C²¸ÁçÄlªo(1%)(KL)
1,2018/03/19,26.0,27.5,29.5,23.8,,,16593,11678,,,,
2,2018/03/14,,,,,,37.4,,,,,,
3,2018/03/12,26.1,27.6,29.6,23.9,,,16693,11778,,,,
4,2018/03/07,,,,,,38.9,,,,,,
5,2018/03/06,,,,,,,,,14376,15562,,
6,2018/03/05,26.3,27.8,29.8,24.1,,,16893,11978,,,,
7,2018/02/28,,,,,,38.0,,,,,,
8,2018/02/26,26.2,27.7,29.7,24.0,,,16793,11878,,,,
9,2018/02/22,,,,,,37.4,,,,,,
10,2018/02/19,25.8,27.3,29.3,23.6,,,16393,11478,,,,
11,2018/02/14,,,,,,38.9,,,,,,
12,2018/02/12,26.4,27.9,29.9,24.3,,,17093,12178,,,,
13,2018/02/06,,,,,,,,,13913,15182,,
14,2018/02/05,27.0,28.5,30.5,24.9,,,17693,12778,,,,
15,2018/01/24,,,,,,40.1,,,,,,
16,2018/01/22,27.2,28.7,30.7,,,,,,,,,
17,2018/01/17,,,,,,39.8,,,,,,
18,2018/01/15,27.1,28.6,30.6,25.1,,,17893,12978,,,,
19,2018/01/10,,,,,,39.5,,,,,,
20,2018/01/08,26.9,28.4,30.4,24.8,,,17593,12678,,,,
21,2018/01/06,,,,,,,,,13538,14706,,
22,2018/01/03,,,,,,39.2,,,,,,
23,2018/01/01,26.7,28.2,30.2,24.6,,,17393,12478,,,,
24,2017/12/27,,,,,,38.3,,,,,,
25,2017/12/25,26.4,27.9,29.9,24.2,,,16993,12078,,,,
26,2017/12/20,,,,,,38.0,,,,,,
27,2017/12/18,26.3,27.8,29.8,24.1,,,16893,11978,,,,
28,2017/12/13,,,,,,37.7,,,,,,
29,2017/12/11,26.1,27.6,29.6,23.9,,,16693,11778,,,,
30,2017/12/06,,,,,,,,,12812,13993,,
31,2017/12/04,,,,24.1,,,16893,11978,,,,
32,2017/11/29,,,,,,38.6,,,,,,
33,2017/11/27,26.2,27.7,29.7,24.0,,,16793,11878,,,,
34,2017/11/22,,,,,,38.0,,,,,,
35,2017/11/20,26.1,27.6,29.6,23.9,,,16693,11778,,,,
36,2017/11/15,,,,,,38.6,,,,,,
37,2017/11/13,26.4,27.9,29.9,24.3,,,17093,12178,,,,
38,2017/11/08,,,,,,37.1,,,,,,
39,2017/11/06,25.8,27.3,29.3,23.6,,,16393,11478,12056,13239,,
40,2017/11/01,,,,,,35.9,,,,,,
41,2017/10/30,25.3,26.8,28.8,23.0,,,15793,10878,,,,
42,2017/10/25,,,,,,35.3,,,,,,
43,2017/10/23,25.1,26.6,28.6,22.9,,,15693,10778,,,,
44,2017/10/16,,,,22.6,,,15393,10478,,,,
45,2017/10/12,,,,,,34.4,,,,,,
46,2017/10/09,24.9,26.4,28.4,22.7,,,15493,10578,,,,
47,2017/10/06,,,,,,,,,11655,12751,,
48,2017/10/04,,,,,,35.3,,,,,,
49,2017/10/02,25.2,26.7,28.7,23.0,,,15793,10878,,,,
50,2017/09/27,,,,,,34.4,,,,,,
51,2017/09/25,24.8,26.3,28.3,22.6,,,15393,10478,,,,
52,2017/09/18,24.5,26.0,28.0,22.2,,,14993,10078,,,,
53,2017/09/13,,,,,,33.5,,,,,,
54,2017/09/11,24.3,25.8,27.8,22.0,,,14793,9878,,,,
55,2017/09/06,,,,,,32.0,,,11718,12687,,
56,2017/09/04,23.9,25.4,27.4,21.5,,,14293,9378,,,,
57,2017/08/30,,,,,,31.1,,,,,,
58,2017/08/28,23.8,25.3,27.3,21.4,,,14193,9278,,,,
59,2017/08/23,,,,,,30.5,,,,,,
60,2017/08/21,23.6,25.1,27.1,21.2,,,13993,9078,,,,
61,2017/08/09,,,,,,31.1,,,,,,
62,2017/08/07,23.9,25.4,27.4,21.5,,,14293,9378,,,,
63,2017/08/06,,,,,,,,,12180,12999,,
64,2017/08/02,,,,,,29.6,,,,,,
65,2017/07/31,23.4,24.9,26.9,21.0,,,13793,8878,,,,
66,2017/07/26,,,,,,29.0,,,,,,
67,2017/07/24,23.2,24.7,26.7,20.8,,,13593,8678,,,,
68,2017/07/19,,,,,,28.1,,,,,,
69,2017/07/17,22.9,24.4,26.4,20.4,,,13193,8278,,,,
70,2017/07/12,,,,,,29.0,,,,,,
71,2017/07/10,23.2,24.7,26.7,20.8,,,13593,8678,,,,
72,2017/07/06,,,,,,,,,12755,13529,,
73,2017/07/05,,,,,,28.4,,,,,,
74,2017/07/03,22.8,24.3,26.3,20.3,,,13093,8178,,,,
75,2017/06/28,,,,,,27.2,,,,,,
76,2017/06/26,22.5,24.0,26.0,20.0,,,12793,7878,,,,
77,2017/06/21,,,,,,27.8,,,,,,
78,2017/06/19,22.8,24.3,26.3,20.3,,,13093,8178,,,,
79,2017/06/14,,,,,,28.4,,,,,,
80,2017/06/12,23.0,24.5,26.5,20.6,,,13393,8478,,,,
81,2017/06/07,,,,,,28.7,,,,,,
82,2017/06/06,,,,,,,,,12901,13765,,
83,2017/06/05,23.5,25.0,27.0,21.1,,,13893,8978,,,,
84,2017/06/01,,,,,,29.9,,,,,,
85,2017/05/29,24.1,25.6,27.6,21.7,,,14493,9578,,,,
86,2017/05/24,,,,,,29.0,,,,,,
87,2017/05/22,23.9,25.4,27.4,21.5,,,14293,9378,,,,
88,2017/05/10,,,,,,28.1,,,,,,
89,2017/05/08,23.4,24.9,26.9,20.9,,,13693,8778,,,,
90,2017/05/06,,,,,,,,,13148,14075,,
91,2017/05/03,,,,,,29.3,,,,,,
92,2017/05/01,23.7,25.2,27.2,21.3,,,14093,9178,,,,
93,2017/04/26,,,,,,31.1,,,,,,
94,2017/04/24,24.2,25.7,27.7,21.8,,,14593,9678,,,,
95,2017/04/19,,,,,,32.2,,,,,,
96,2017/04/17,24.7,26.2,28.2,22.4,,,15193,10278,,,,
97,2017/04/12,,,,,,31.7,,,,,,
98,2017/04/10,24.3,25.8,27.8,22.0,,,14793,9878,,,,
99,2017/04/06,,,,,,31.4,,,13224,14230,,
100,2017/04/03,23.7,25.2,27.2,21.3,,,14093,9178,,,,
101,2017/03/29,,,,,,31.1,,,,,,
102,2017/03/27,23.6,25.1,27.1,21.2,,,13993,9078,,,,
103,2017/03/22,,,,,,31.7,,,,,,
104,2017/03/20,23.8,25.3,27.3,21.5,,,14293,9378,,,,
105,2017/03/15,,,,,,33.8,,,,,,
106,2017/03/13,24.6,26.1,28.1,22.2,,,14993,10078,,,,
107,2017/03/08,,,,,,35.0,,,,,,
108,2017/03/06,,,,,,,,,13325,14294,,
109,2017/02/27,24.9,26.4,28.4,22.6,,,15393,10478,,,,
110,2017/02/20,24.8,26.3,28.3,22.5,,,15293,10378,,,,
111,2017/02/13,24.9,26.4,28.4,22.6,,,15393,10478,,,,
112,2017/02/08,,,,,,35.9,,,,,,
113,2017/02/06,25.0,26.5,28.5,22.7,,,15493,10578,12892,13785,,
114,2017/01/23,24.9,26.4,28.4,22.6,,,15393,10478,,,,
115,2017/01/18,,,,,,35.3,,,,,,
116,2017/01/16,25.0,26.5,28.5,22.7,,,15493,10578,,,,
117,2017/01/09,,,,23.1,,,15893,10978,,,,
118,2017/01/06,,,,,,,,,12461,13314,,
119,2017/01/04,,,,,,35.9,,,,,,
120,2017/01/02,25.3,26.8,28.8,23.0,,,15793,10878,,,,
121,2016/12/21,,,,,,35.3,,,,,,
122,2016/12/19,24.9,26.4,28.4,22.6,,,15393,10478,,,,
123,2016/12/14,,,,,,34.4,,,,,,
124,2016/12/12,24.6,26.1,28.1,22.2,,,14993,10078,,,,
125,2016/12/06,,,,,,,,,12147,12933,,
126,2016/12/05,23.6,25.1,27.1,21.2,,,13993,9078,,,,
127,2016/11/30,,,,,,32.0,,,,,,
128,2016/11/28,23.3,24.8,26.8,20.9,,,13693,8778,,,,
129,2016/11/21,22.6,24.1,26.1,20.1,,,12893,7978,,,,
130,2016/11/16,,,,,,29.9,,,,,,
131,2016/11/14,22.5,24.0,26.0,20.0,,,12793,7878,,,,
132,2016/11/09,,,,,,31.1,,,,,,
133,2016/11/07,22.8,24.3,26.3,20.4,,,13193,8278,,,,
134,2016/11/06,,,,,,,,,11927,12719,,
135,2016/11/02,,,,,,34.1,,,,,,
136,2016/10/31,23.8,25.3,27.3,21.4,,,14193,9278,,,,
137,2016/10/24,,,,21.6,,,14393,9478,,,,
138,2016/10/19,,,,,,35.3,,,,,,
139,2016/10/17,24.0,25.5,27.5,21.7,,,14493,9578,,,,
140,2016/10/12,,,,,,34.4,,,,,,
141,2016/10/10,23.8,25.3,27.3,21.4,,,14193,9278,,,,
142,2016/10/06,,,,,,,,,12229,12866,,
143,2016/10/05,,,,,,32.3,,,,,,
144,2016/10/03,22.7,24.2,26.2,20.2,,,12993,8078,,,,
145,2016/09/26,22.6,24.1,26.1,20.1,,,12893,7978,,,,
146,2016/09/20,,,,,,31.4,,,,,,
